0,0.15,15,15
1,0.15,15,15
2,0.15,15,15
3,0.15,15,15
4,0.15,15,15
5,0.15,15,15
6,0.15,15,15
7,0.15,15,15
8,0.15,15,15
9,0.15,15,15
10,0.15,15,15
11,0.15,15,15
12,0.15,15,15
13,0.15,15,15
14,0.15,15,15
15,0.15,15,15
16,0.15,15,15
17,0.15,15,15
18,0.15,15,15
19,0.15,15,15
20,0.15,15,15
21,0.15,15,15
22,0.15,15,15
23,0.15,15,15
24,0.15,15,15
25,0.15,15,15
26,0.15,15,15
27,0.15,15,15
28,0.15,15,15
29,0.15,15,15
30,0.15,15,15
31,0.15,15,15
32,0.15,15,15
33,0.15,15,15
34,0.15,15,15
35,0.15,15,15
36,0.15,15,15
37,0.15,15,15
38,0.15,15,15
39,0.15,15,15
40,0.15,15,15
41,0.15,15,15
42,0.15,15,15
43,0.15,15,15
44,0.15,15,15
45,0.15,15,15
46,0.15,15,15
47,0.15,15,15
48,0.15,15,15
49,0.15,15,15
50,0.15,15,15
51,0.15,15,15
52,0.15,15,15
53,0.15,15,15
54,0.15,15,15
55,0.15,15,15
56,0.15,15,15
57,0.15,15,15
58,0.15,15,15
59,0.15,15,15
60,0.15,15,15
61,0.15,15,15
62,0.15,15,15
63,0.15,15,15
64,0.15,15,15
65,0.15,15,15
66,0.15,15,15
67,0.15,15,15
68,0.15,15,15
69,0.15,15,15
70,0.15,15,15
71,0.15,15,15
72,0.15,15,15
73,0.15,15,15
74,0.15,15,15
75,0.15,15,15
76,0.15,15,15
77,0.15,15,15
78,0.15,15,15
79,0.15,15,15
80,0.15,15,15
0,1.15,15,15
1,1.15,15,15
2,1.15,15,15
3,1.15,15,15
4,1.15,15,15
5,1.15,15,15
6,1.15,15,15
7,1.15,15,15
8,1.15,15,15
9,1.15,15,15
10,1.15,15,15
11,1.15,15,15
12,1.15,15,15
13,1.15,15,15
14,1.15,15,15
15,1.15,15,15
16,1.15,15,15
17,1.15,15,15
18,1.15,15,15
19,1.15,15,15
20,1.15,15,15
21,1.15,15,15
22,1.15,15,15
23,1.15,15,15
24,1.15,15,15
25,1.15,15,15
26,1.15,15,15
27,1.15,15,15
28,1.15,15,15
29,1.15,15,15
30,1.15,15,15
31,1.15,15,15
32,1.15,15,15
